age,gender,subscription_type,watch_hours,last_login_days,region,device,monthly_fee,churned,payment_method,number_of_profiles,avg_watch_time_per_day,favorite_genre,Cost_Per_Profile,Login_Frequency,Loyalty_Score,Estimated_Tenure_Days,Watch_Intensity
53,Other,Standard,43.02,43,South America,Tablet,13.99,0,Crypto,1,0.98,Action,13.99,0.0227272727272727,0.9999999999999988,1080,42.159600000000005
36,Other,Standard,34.6,19,Oceania,Tablet,13.99,0,Crypto,3,1.73,Action,4.663333333333333,0.05,1.8165,570,59.858000000000004
55,Other,Basic,24.58,18,Asia,Desktop,8.99,0,Debit Card,1,1.29,Documentary,8.99,0.0526315789473684,1.3615789473684203,1140,31.708199999999998
45,Female,Standard,7.39,6,Oceania,TV,13.99,0,PayPal,1,1.06,Romance,13.99,0.1428571428571428,1.2071428571428564,840,7.8334
24,Male,Premium,6.92,13,Africa,Desktop,17.99,0,Crypto,2,0.49,Action,8.995,0.0714285714285714,0.529285714285714,210,3.3908
30,Other,Premium,1.37,55,North America,Mobile,17.99,1,Debit Card,1,0.02,Horror,17.99,0.0178571428571428,0.024821428571428494,390,0.027400000000000004
69,Female,Basic,24.56,53,Oceania,Laptop,8.99,1,Gift Card,1,0.45,Action,8.99,0.0185185185185185,0.46314814814814764,1560,11.052
47,Other,Standard,15.87,52,Africa,Laptop,13.99,1,Crypto,1,0.3,Sci-Fi,13.99,0.0188679245283018,0.30509433962264004,900,4.760999999999999
49,Female,Standard,7.62,27,Asia,TV,13.99,0,Debit Card,3,0.27,Action,4.663333333333333,0.0357142857142857,0.2817857142857142,960,2.0574000000000003
67,Male,Standard,3.05,29,Oceania,Tablet,13.99,1,PayPal,1,0.1,Drama,13.99,0.0333333333333333,0.10499999999999989,1500,0.305
23,Female,Premium,13.31,34,Africa,Mobile,17.99,1,Debit Card,2,0.38,Romance,8.995,0.0285714285714285,0.39114285714285624,180,5.0578
67,Male,Basic,1.56,0,Oceania,Desktop,8.99,0,Crypto,5,1.56,Documentary,1.798,1.0,3.12,1500,2.4336
57,Male,Premium,0.97,32,South America,Mobile,17.99,1,Gift Card,2,0.03,Comedy,8.995,0.0303030303030303,0.0303030303030303,1200,0.029099999999999997
55,Other,Standard,21.58,48,North America,Mobile,13.99,0,Credit Card,5,0.44,Romance,2.798,0.0204081632653061,0.4493877551020403,1140,9.495199999999999
35,Other,Standard,22.59,16,Europe,Tablet,13.99,0,Credit Card,2,1.33,Comedy,6.995,0.0588235294117647,1.4070588235294117,540,30.044700000000002
22,Female,Standard,9.69,35,Asia,TV,13.99,1,Crypto,4,0.27,Documentary,3.4975,0.0277777777777777,0.27666666666666584,150,2.6163
34,Male,Premium,12.82,45,North America,Mobile,17.99,1,PayPal,2,0.28,Romance,8.995,0.0217391304347826,0.2847826086956521,510,3.5896000000000003
19,Male,Standard,4.34,1,Asia,Tablet,13.99,0,PayPal,1,2.17,Sci-Fi,13.99,0.5,3.255,60,9.4178
25,Female,Premium,15.95,15,South America,Laptop,17.99,0,Credit Card,1,1.0,Action,17.99,0.0625,1.059375,240,15.95
49,Other,Premium,2.05,14,North America,Tablet,17.99,0,Debit Card,5,0.14,Romance,3.598,0.0666666666666666,0.14599999999999985,960,0.287
55,Other,Premium,3.86,25,Europe,Tablet,17.99,1,PayPal,3,0.15,Action,5.996666666666666,0.0384615384615384,0.15423076923076898,1140,0.579
36,Other,Basic,1.68,10,Africa,TV,8.99,1,PayPal,4,0.15,Action,2.2475,0.0909090909090909,0.16636363636363632,570,0.252
27,Other,Premium,46.88,56,Oceania,TV,17.99,0,Crypto,3,0.82,Drama,5.996666666666666,0.0175438596491228,0.8368421052631576,300,38.4416
49,Male,Standard,4.22,50,Oceania,Desktop,13.99,1,Gift Card,2,0.08,Comedy,6.995,0.0196078431372549,0.08431372549019607,960,0.3376
54,Female,Basic,26.88,44,South America,Desktop,8.99,0,Gift Card,3,0.6,Drama,2.9966666666666666,0.0222222222222222,0.610666666666666,1110,16.128
31,Female,Standard,2.23,39,North America,Mobile,13.99,1,Debit Card,5,0.06,Drama,2.798,0.025,0.05725,420,0.1338
31,Male,Premium,14.15,24,South America,Desktop,17.99,0,PayPal,5,0.57,Drama,3.598,0.04,0.5888,420,8.0655
42,Female,Basic,49.49,39,Europe,Mobile,8.99,0,Credit Card,5,1.24,Horror,1.798,0.025,1.26825,750,61.3676
30,Male,Premium,8.79,21,Europe,Tablet,17.99,0,Crypto,4,0.4,Comedy,4.4975,0.0454545454545454,0.4177272727272722,390,3.516
58,Male,Standard,14.57,22,North America,Mobile,13.99,0,Debit Card,2,0.63,Romance,6.995,0.0434782608695652,0.6608695652173912,1230,9.1791
63,Other,Standard,25.73,11,Africa,TV,13.99,0,PayPal,1,2.14,Comedy,13.99,0.0833333333333333,2.3224999999999993,1380,55.062200000000004
60,Male,Standard,3.01,30,Asia,Desktop,13.99,1,Gift Card,3,0.1,Documentary,4.663333333333333,0.032258064516129,0.10032258064516117,1290,0.301
66,Male,Basic,12.05,33,South America,Tablet,8.99,1,PayPal,3,0.35,Drama,2.9966666666666666,0.0294117647058823,0.36470588235294055,1470,4.2175
51,Female,Premium,3.7,37,South America,Mobile,17.99,1,Credit Card,2,0.1,Horror,8.995,0.0263157894736842,0.09999999999999996,1020,0.37000000000000005
63,Male,Premium,5.84,20,Oceania,Mobile,17.99,0,Credit Card,1,0.28,Documentary,17.99,0.0476190476190476,0.2914285714285713,1380,1.6352000000000002
31,Male,Basic,48.35,11,Oceania,Desktop,8.99,0,Debit Card,5,4.03,Comedy,1.798,0.0833333333333333,4.364999999999998,420,194.8505
55,Other,Standard,2.89,37,North America,Desktop,13.99,1,Debit Card,4,0.08,Action,3.4975,0.0263157894736842,0.07815789473684208,1140,0.23120000000000002
38,Male,Premium,29.84,56,South America,Desktop,17.99,0,Credit Card,4,0.52,Drama,4.4975,0.0175438596491228,0.5326315789473681,630,15.5168
65,Other,Standard,19.33,31,North America,Desktop,13.99,0,Credit Card,1,0.6,Comedy,13.99,0.03125,0.6228125,1440,11.597999999999999
43,Female,Premium,2.5,33,Europe,TV,17.99,1,Credit Card,3,0.07,Action,5.996666666666666,0.0294117647058823,0.07558823529411751,780,0.17500000000000002
63,Male,Premium,6.97,31,North America,Tablet,17.99,1,Crypto,1,0.22,Romance,17.99,0.03125,0.22468749999999998,1380,1.5333999999999999
64,Female,Standard,3.66,6,Africa,Mobile,13.99,0,PayPal,1,0.52,Romance,13.99,0.1428571428571428,0.5971428571428569,1410,1.9032000000000002
58,Female,Basic,30.85,46,North America,Mobile,8.99,0,Debit Card,5,0.66,Action,1.798,0.0212765957446808,0.670425531914892,1230,20.361
31,Male,Standard,1.77,34,Europe,TV,13.99,1,PayPal,3,0.05,Sci-Fi,4.663333333333333,0.0285714285714285,0.05199999999999987,420,0.08850000000000001
62,Other,Standard,16.65,41,North America,Tablet,13.99,1,Debit Card,3,0.4,Romance,4.663333333333333,0.0238095238095238,0.40595238095238073,1350,6.66
35,Male,Standard,25.08,2,Oceania,TV,13.99,0,Crypto,5,8.36,Action,2.798,0.3333333333333333,11.146666666666665,540,209.66879999999998
34,Other,Standard,23.2,18,Asia,Tablet,13.99,0,Debit Card,1,1.22,Comedy,13.99,0.0526315789473684,1.2852631578947362,510,28.304
65,Other,Premium,37.82,31,Oceania,Tablet,17.99,0,Gift Card,3,1.18,Sci-Fi,5.996666666666666,0.03125,1.21875,1440,44.6276
68,Male,Standard,28.44,55,Europe,Laptop,13.99,0,Crypto,3,0.51,Romance,4.663333333333333,0.0178571428571428,0.5169642857142841,1530,14.5044
46,Other,Standard,13.38,3,South America,Laptop,13.99,0,Credit Card,2,3.35,Romance,6.995,0.25,4.1825,870,44.823
62,Female,Standard,14.8,40,South America,Mobile,13.99,1,Crypto,5,0.36,Drama,2.798,0.024390243902439,0.36975609756097527,1350,5.328
63,Other,Premium,3.39,57,South America,Mobile,17.99,1,PayPal,4,0.06,Sci-Fi,4.4975,0.0172413793103448,0.05948275862068956,1380,0.2034
62,Female,Premium,13.15,11,Oceania,Desktop,17.99,0,Debit Card,1,1.1,Comedy,17.99,0.0833333333333333,1.1874999999999996,1350,14.465000000000002
41,Male,Basic,15.26,21,South America,Desktop,8.99,0,Debit Card,5,0.69,Drama,1.798,0.0454545454545454,0.7249999999999991,720,10.529399999999999
27,Other,Premium,79.17,12,South America,Tablet,17.99,0,Debit Card,2,6.09,Drama,8.995,0.0769230769230769,6.558461538461537,300,482.1453
60,Female,Basic,9.13,43,North America,Laptop,8.99,1,Debit Card,1,0.21,Documentary,8.99,0.0227272727272727,0.21227272727272706,1290,1.9173
60,Male,Premium,3.29,20,Asia,Mobile,17.99,1,Debit Card,2,0.16,Drama,8.995,0.0476190476190476,0.16428571428571423,1290,0.5264
58,Female,Standard,9.52,51,Europe,Laptop,13.99,1,PayPal,1,0.18,Sci-Fi,13.99,0.0192307692307692,0.18653846153846124,1230,1.7135999999999998
18,Male,Standard,3.56,23,Oceania,Tablet,13.99,0,Debit Card,4,0.15,Horror,3.4975,0.0416666666666666,0.1545833333333331,30,0.534
48,Other,Premium,11.1,41,Africa,Mobile,17.99,1,Gift Card,5,0.26,Documentary,3.598,0.0238095238095238,0.27047619047619037,930,2.886
26,Other,Standard,23.13,27,Oceania,Mobile,13.99,0,Debit Card,2,0.83,Documentary,6.995,0.0357142857142857,0.8557142857142852,270,19.197899999999997
21,Male,Premium,9.91,27,Asia,Desktop,17.99,0,Debit Card,2,0.35,Sci-Fi,8.995,0.0357142857142857,0.36642857142857127,120,3.4684999999999997
46,Other,Basic,6.22,36,Asia,Laptop,8.99,1,Credit Card,2,0.17,Horror,4.495,0.027027027027027,0.17270270270270252,870,1.0574000000000001
62,Female,Premium,0.45,20,Europe,Tablet,17.99,0,Debit Card,5,0.02,Sci-Fi,3.598,0.0476190476190476,0.022380952380952373,1350,0.009000000000000001
35,Female,Standard,17.53,38,Oceania,Laptop,13.99,1,Credit Card,1,0.45,Action,13.99,0.0256410256410256,0.46102564102564025,540,7.8885000000000005
61,Female,Standard,4.52,21,Europe,Tablet,13.99,1,Crypto,2,0.21,Drama,6.995,0.0454545454545454,0.21499999999999972,1320,0.9491999999999998
37,Male,Basic,9.69,24,Asia,Mobile,8.99,0,Credit Card,4,0.39,Horror,2.2475,0.04,0.4032,600,3.7791
46,Female,Standard,5.78,4,Asia,Laptop,13.99,0,Credit Card,2,1.16,Sci-Fi,6.995,0.2,1.3880000000000001,870,6.7048
41,Female,Premium,18.87,9,Europe,TV,17.99,0,Gift Card,3,1.89,Documentary,5.996666666666666,0.1,2.076,720,35.6643
21,Female,Premium,4.89,3,Oceania,Desktop,17.99,0,Debit Card,4,1.22,Sci-Fi,4.4975,0.25,1.5274999999999999,120,5.9658
55,Female,Premium,1.66,54,Oceania,TV,17.99,1,PayPal,4,0.03,Drama,4.4975,0.0181818181818181,0.03072727272727259,1140,0.0498
64,Female,Premium,4.42,17,South America,Laptop,17.99,1,Crypto,3,0.25,Horror,5.996666666666666,0.0555555555555555,0.25944444444444414,1410,1.105
36,Other,Premium,13.38,22,North America,Mobile,17.99,0,Gift Card,4,0.58,Documentary,4.4975,0.0434782608695652,0.6069565217391303,570,7.7604
67,Female,Premium,9.87,6,Europe,TV,17.99,0,PayPal,3,1.41,Action,5.996666666666666,0.1428571428571428,1.6114285714285705,1500,13.916699999999999
23,Female,Premium,23.6,56,South America,TV,17.99,0,PayPal,4,0.41,Sci-Fi,4.4975,0.0175438596491228,0.42122807017543845,180,9.676
19,Male,Basic,3.89,33,North America,Mobile,8.99,1,Credit Card,1,0.11,Romance,8.99,0.0294117647058823,0.1176470588235292,60,0.4279
20,Other,Premium,3.4,33,Africa,Tablet,17.99,1,Crypto,5,0.1,Drama,3.598,0.0294117647058823,0.10294117647058805,90,0.34
50,Female,Standard,3.58,54,Europe,Tablet,13.99,1,Credit Card,4,0.07,Romance,3.4975,0.0181818181818181,0.06636363636363607,990,0.25060000000000004
33,Other,Premium,31.11,39,South America,Mobile,17.99,0,Crypto,4,0.78,Comedy,4.4975,0.025,0.79725,480,24.2658
31,Other,Premium,2.81,39,Europe,Desktop,17.99,1,Credit Card,5,0.07,Horror,3.598,0.025,0.072,420,0.1967
20,Male,Standard,9.87,29,Africa,Desktop,13.99,0,PayPal,3,0.33,Documentary,4.663333333333333,0.0333333333333333,0.33999999999999964,90,3.2571
18,Female,Basic,35.52,40,South America,Tablet,8.99,0,Crypto,3,0.87,Action,2.9966666666666666,0.024390243902439,0.8875609756097552,30,30.902400000000004
31,Male,Premium,4.6,1,South America,Desktop,17.99,0,Gift Card,1,2.3,Sci-Fi,17.99,0.5,3.4499999999999997,420,10.579999999999998
47,Other,Premium,14.24,37,Africa,Tablet,17.99,1,Gift Card,2,0.37,Documentary,8.995,0.0263157894736842,0.38447368421052613,900,5.2688
49,Female,Basic,2.9,46,Asia,Mobile,8.99,1,Debit Card,2,0.06,Horror,4.495,0.0212765957446808,0.06297872340425516,960,0.174
30,Female,Basic,24.74,17,Oceania,Laptop,8.99,0,Credit Card,5,1.37,Comedy,1.798,0.0555555555555555,1.450555555555554,390,33.8938
22,Other,Basic,2.93,27,Asia,TV,8.99,1,Gift Card,2,0.1,Sci-Fi,4.495,0.0357142857142857,0.10821428571428568,150,0.29300000000000004
61,Other,Standard,5.98,1,North America,Tablet,13.99,0,Gift Card,5,2.99,Romance,2.798,0.5,4.485,1320,17.880200000000002
59,Other,Premium,24.59,49,North America,Desktop,17.99,0,Crypto,3,0.49,Romance,5.996666666666666,0.02,0.5015999999999999,1260,12.0491
42,Male,Premium,18.17,2,South America,Laptop,17.99,0,Crypto,4,6.06,Sci-Fi,4.4975,0.3333333333333333,8.076666666666666,750,110.1102
21,Female,Basic,13.97,14,North America,Laptop,8.99,0,Credit Card,3,0.93,Romance,2.9966666666666666,0.0666666666666666,0.9933333333333323,120,12.9921
35,Male,Basic,4.58,42,South America,Tablet,8.99,1,Credit Card,4,0.11,Romance,2.2475,0.0232558139534883,0.10906976744186013,540,0.5038
32,Other,Basic,17.18,22,Africa,TV,8.99,0,Crypto,4,0.75,Romance,2.2475,0.0434782608695652,0.779565217391304,450,12.885
65,Female,Premium,4.89,6,Asia,TV,17.99,0,Gift Card,1,0.7,Documentary,17.99,0.1428571428571428,0.7985714285714282,1440,3.4229999999999996
59,Other,Standard,6.77,22,Oceania,Tablet,13.99,0,Debit Card,1,0.29,Sci-Fi,13.99,0.0434782608695652,0.3069565217391303,1260,1.9632999999999998
70,Other,Basic,1.28,52,Asia,Mobile,8.99,1,Credit Card,5,0.02,Action,1.798,0.0188679245283018,0.02452830188679234,1590,0.0256
63,Male,Premium,8.54,51,North America,Tablet,17.99,0,Credit Card,5,0.16,Documentary,3.598,0.0192307692307692,0.16730769230769202,1380,1.3663999999999998
29,Other,Basic,17.58,2,Europe,Desktop,8.99,0,PayPal,1,5.86,Action,8.99,0.3333333333333333,7.813333333333333,360,103.0188
30,Other,Basic,9.28,44,North America,Tablet,8.99,1,PayPal,4,0.21,Action,2.2475,0.0222222222222222,0.21088888888888868,390,1.9487999999999999
52,Other,Basic,6.18,41,South America,Tablet,8.99,1,Gift Card,3,0.15,Comedy,2.9966666666666666,0.0238095238095238,0.15071428571428566,1050,0.9269999999999999
49,Other,Standard,5.88,40,North America,Mobile,13.99,1,Crypto,2,0.14,Action,6.995,0.024390243902439,0.14682926829268278,960,0.8232
33,Male,Standard,2.86,30,Europe,Tablet,13.99,1,Gift Card,5,0.09,Drama,2.798,0.032258064516129,0.09516129032258053,480,0.25739999999999996
22,Female,Basic,3.71,28,Europe,TV,8.99,1,Crypto,1,0.13,Horror,8.99,0.0344827586206896,0.13241379310344806,150,0.4823
29,Male,Basic,1.7,43,South America,Mobile,8.99,1,Debit Card,5,0.04,Horror,1.798,0.0227272727272727,0.039545454545454495,360,0.068
67,Female,Standard,1.02,20,Europe,Laptop,13.99,1,Gift Card,1,0.05,Sci-Fi,13.99,0.0476190476190476,0.050952380952380937,1500,0.051000000000000004
53,Female,Premium,1.36,35,South America,Mobile,17.99,1,Gift Card,2,0.04,Romance,8.995,0.0277777777777777,0.038888888888888785,1080,0.054400000000000004
40,Male,Premium,12.26,3,North America,Mobile,17.99,0,Debit Card,5,3.06,Romance,3.598,0.25,3.83,690,37.5156
56,Other,Premium,1.43,16,Europe,Laptop,17.99,1,Debit Card,2,0.08,Action,8.995,0.0588235294117647,0.08882352941176469,1170,0.1144
35,Female,Basic,26.9,49,South America,Desktop,8.99,0,Gift Card,2,0.54,Drama,4.495,0.02,0.5488,540,14.526
54,Male,Basic,3.13,16,Oceania,TV,8.99,1,Credit Card,5,0.18,Drama,1.798,0.0588235294117647,0.19470588235294115,1110,0.5634
19,Other,Basic,3.72,11,Asia,Desktop,8.99,1,Crypto,5,0.31,Documentary,1.798,0.0833333333333333,0.3358333333333332,60,1.1532
28,Male,Premium,16.17,46,Africa,Laptop,17.99,1,Crypto,4,0.34,Horror,4.4975,0.0212765957446808,0.35127659574468,330,5.497800000000001
19,Other,Basic,5.18,43,Europe,Tablet,8.99,1,PayPal,4,0.12,Horror,2.2475,0.0227272727272727,0.1204545454545453,60,0.6215999999999999
34,Male,Basic,1.89,59,Asia,Tablet,8.99,1,Credit Card,5,0.03,Action,1.798,0.0166666666666666,0.03199999999999987,510,0.05669999999999999
19,Male,Premium,8.03,1,Asia,TV,17.99,0,Gift Card,3,4.01,Drama,5.996666666666666,0.5,6.02,60,32.2003
45,Other,Basic,3.4,27,North America,Laptop,8.99,1,Crypto,3,0.12,Sci-Fi,2.9966666666666666,0.0357142857142857,0.12571428571428567,840,0.408
50,Other,Basic,0.11,1,South America,Tablet,8.99,1,Gift Card,2,0.06,Sci-Fi,4.495,0.5,0.08499999999999999,990,0.0066
47,Female,Standard,40.12,55,Africa,Desktop,13.99,0,PayPal,1,0.72,Action,13.99,0.0178571428571428,0.7292857142857119,900,28.8864
40,Female,Standard,32.88,36,South America,Desktop,13.99,0,Crypto,4,0.89,Sci-Fi,3.4975,0.027027027027027,0.9127027027027019,690,29.2632
41,Female,Standard,6.26,16,Oceania,Tablet,13.99,0,Crypto,4,0.37,Action,3.4975,0.0588235294117647,0.38999999999999996,720,2.3162
48,Other,Premium,16.78,2,Europe,Mobile,17.99,0,PayPal,1,5.59,Drama,17.99,0.3333333333333333,7.456666666666667,930,93.8002
67,Other,Standard,3.29,25,North America,Tablet,13.99,1,Crypto,1,0.13,Documentary,13.99,0.0384615384615384,0.13153846153846133,1500,0.4277
59,Female,Basic,20.11,40,South America,Desktop,8.99,1,PayPal,2,0.49,Sci-Fi,4.495,0.024390243902439,0.5024390243902433,1260,9.8539
60,Female,Standard,19.36,45,South America,Desktop,13.99,1,Debit Card,2,0.42,Drama,6.995,0.0217391304347826,0.4299999999999999,1290,8.1312
33,Male,Basic,2.27,20,South America,Desktop,8.99,1,Debit Card,3,0.11,Romance,2.9966666666666666,0.0476190476190476,0.11333333333333329,480,0.2497
24,Female,Basic,2.42,56,Europe,Tablet,8.99,1,Crypto,3,0.04,Comedy,2.9966666666666666,0.0175438596491228,0.04315789473684208,210,0.0968
23,Other,Basic,10.85,13,North America,Mobile,8.99,0,PayPal,3,0.78,Romance,2.9966666666666666,0.0714285714285714,0.8307142857142853,180,8.463
34,Male,Premium,9.59,28,Europe,Mobile,17.99,0,PayPal,4,0.33,Action,4.4975,0.0344827586206896,0.3420689655172408,510,3.1647000000000003
30,Male,Premium,7.24,40,Asia,TV,17.99,0,Debit Card,5,0.18,Documentary,3.598,0.024390243902439,0.1809756097560974,390,1.3032
69,Male,Standard,7.85,43,Europe,TV,13.99,1,Gift Card,5,0.18,Action,2.798,0.0227272727272727,0.18249999999999977,1560,1.4129999999999998
70,Female,Basic,6.8,6,North America,Mobile,8.99,0,Debit Card,4,0.97,Action,2.2475,0.1428571428571428,1.1099999999999994,1590,6.596
42,Male,Premium,0.88,33,Oceania,Laptop,17.99,1,Credit Card,1,0.03,Comedy,17.99,0.0294117647058823,0.026764705882352895,750,0.0264
34,Male,Premium,12.48,53,Asia,Tablet,17.99,1,Gift Card,2,0.23,Comedy,8.995,0.0185185185185185,0.23537037037037015,510,2.8704
51,Female,Premium,2.04,6,South America,TV,17.99,0,Debit Card,2,0.29,Drama,8.995,0.1428571428571428,0.33285714285714274,1020,0.5916
27,Other,Premium,4.57,24,Africa,Laptop,17.99,1,Gift Card,4,0.18,Documentary,4.4975,0.04,0.19,300,0.8226
19,Male,Standard,19.23,20,Oceania,Laptop,13.99,0,Debit Card,3,0.92,Romance,4.663333333333333,0.0476190476190476,0.9595238095238093,60,17.6916
18,Other,Standard,16.81,56,Oceania,Tablet,13.99,1,Credit Card,2,0.29,Drama,6.995,0.0175438596491228,0.2999999999999998,30,4.874899999999999
23,Other,Premium,8.17,38,Europe,Desktop,17.99,1,PayPal,3,0.21,Documentary,5.996666666666666,0.0256410256410256,0.21487179487179453,180,1.7157
23,Male,Basic,7.09,32,Europe,TV,8.99,1,Credit Card,2,0.21,Romance,4.495,0.0303030303030303,0.2212121212121212,180,1.4889
50,Female,Premium,7.92,58,Asia,Desktop,17.99,1,Gift Card,4,0.13,Drama,4.4975,0.0169491525423728,0.13644067796610107,990,1.0296
54,Other,Standard,10.1,40,Oceania,TV,13.99,0,PayPal,5,0.25,Horror,2.798,0.024390243902439,0.2524390243902436,1110,2.525
68,Female,Basic,9.07,32,Africa,TV,8.99,1,Crypto,3,0.27,Romance,2.9966666666666666,0.0303030303030303,0.283030303030303,1530,2.4489
70,Other,Basic,2.24,50,Europe,Laptop,8.99,1,PayPal,5,0.04,Documentary,1.798,0.0196078431372549,0.04470588235294118,1590,0.08960000000000001
28,Male,Basic,11.25,52,Europe,Laptop,8.99,1,PayPal,5,0.21,Action,1.798,0.0188679245283018,0.21622641509433863,330,2.3625
37,Male,Standard,31.31,53,South America,Mobile,13.99,0,Gift Card,1,0.58,Sci-Fi,13.99,0.0185185185185185,0.590555555555555,600,18.159799999999997
51,Female,Premium,8.32,48,Europe,TV,17.99,1,Credit Card,2,0.17,Horror,8.995,0.0204081632653061,0.17326530612244878,1020,1.4144
18,Female,Premium,6.8,20,South America,Laptop,17.99,0,Credit Card,4,0.32,Drama,4.4975,0.0476190476190476,0.33904761904761893,30,2.176
25,Female,Basic,18.4,55,Asia,TV,8.99,1,Debit Card,4,0.33,Drama,2.2475,0.0178571428571428,0.3344642857142846,240,6.072
33,Other,Basic,44.72,7,Oceania,Tablet,8.99,0,PayPal,4,5.59,Horror,2.2475,0.125,6.28875,480,249.98479999999998
30,Female,Premium,3.61,43,Africa,Tablet,17.99,1,PayPal,4,0.08,Comedy,4.4975,0.0227272727272727,0.08386363636363627,390,0.2888
22,Male,Premium,10.68,60,Africa,Tablet,17.99,0,Debit Card,5,0.18,Action,3.598,0.0163934426229508,0.17803278688524568,150,1.9223999999999999
40,Other,Basic,8.13,4,Oceania,Tablet,8.99,0,Gift Card,4,1.63,Romance,2.2475,0.2,1.9520000000000004,690,13.251900000000001
44,Male,Premium,38.18,49,Oceania,TV,17.99,0,Gift Card,3,0.76,Documentary,5.996666666666666,0.02,0.7787999999999999,810,29.0168
68,Male,Basic,1.83,0,Africa,Mobile,8.99,0,Debit Card,5,1.83,Horror,1.798,1.0,3.66,1530,3.3489000000000004
24,Female,Basic,47.9,21,Oceania,Laptop,8.99,0,Debit Card,4,2.18,Romance,2.2475,0.0454545454545454,2.2763636363636337,210,104.42200000000001
34,Female,Standard,3.85,55,South America,Desktop,13.99,1,Gift Card,3,0.07,Romance,4.663333333333333,0.0178571428571428,0.06999999999999977,510,0.2695
62,Female,Basic,1.55,17,South America,Tablet,8.99,1,Debit Card,2,0.09,Action,4.495,0.0555555555555555,0.09111111111111102,1350,0.13949999999999999
29,Female,Standard,7.46,58,Asia,Tablet,13.99,0,Credit Card,5,0.13,Drama,2.798,0.0169491525423728,0.12864406779660956,360,0.9698
62,Female,Basic,6.67,47,North America,TV,8.99,1,Gift Card,2,0.14,Documentary,4.495,0.0208333333333333,0.14187499999999978,1350,0.9338000000000001
20,Female,Premium,4.57,17,South America,Laptop,17.99,1,Gift Card,1,0.25,Comedy,17.99,0.0555555555555555,0.2677777777777775,90,1.1425
